query,answer,response,eval_scores,guardrails_triggered,judge_ruling,judge_reasoning
do codeshare flights get the free checked bag benefit?,No. The free checked bag benefit applies only to Frontier Airlines-operated flights. Codeshare segments that are operated by other airline partners are not eligible for the free checked bag benefit.,The free checked bag benefit applies only to flights operated by Frontier Airlines. Codeshare flights operated by other airline partners are not eligible for this benefit.,"{""query_ease"": 0.9965173536095389, ""brand_safety"": 0.996486779051661, ""trustworthiness"": 0.9989997996053825, ""topic_restriction"": 0.9965174129365441, ""context_sufficiency"": 0.9965174129356401, ""suspicious_activity"": 0.9965174129072537, ""response_helpfulness"": 0.9965173604976089, ""response_groundedness"": 0.9965174129359328}",[],pass,"The agent output directly answers the query and matches the expected answer: it states the free checked bag benefit applies only to Frontier-operated flights and that codeshare segments operated by partner airlines are not eligible. It attempts to answer the question and does not contradict the expected answer, so it meets all criteria."
"i'm active duty, what free baggage am i entitled to?","Active U.S. military personnel (for all ticket types) who present the required ID receive the following free baggage: one free personal item, one free carry-on bag, and two free checked bags. Oversize and overweight baggage fees are waived for the two free checked bags. You must present a valid/unexpired Common Access Card (CAC) with a uniformed services or academy affiliation or an Armed Forces of the United States Identification Card with an active duty, reserve, guard, or academy affiliation to get these benefits, and all baggage must comply with Frontier's size and weight limits.","As an active duty military personnel traveling with Frontier Airlines, you are entitled to the following free baggage allowances:

- One free personal item
- One free carry-on bag
- Two free checked bags, with oversize and overweight baggage fees waived for these two checked bags

To avail these benefits, you need to present a valid/unexpired Common Access Card (CAC) with a uniformed services or academy affiliation, or an Armed Forces of the United States Identification Card with an active duty, reserve, guard, or academy affiliation at the airport check-in counter or gate. No agent assistance fee will apply when adding military bags at the airport.","{""query_ease"": 0.996380180606854, ""brand_safety"": 0.996517412936075, ""trustworthiness"": 0.9989999323561028, ""topic_restriction"": 0.9965174129362577, ""context_sufficiency"": 0.9965174129355526, ""suspicious_activity"": 0.9965174129380209, ""response_helpfulness"": 0.9961446597629616, ""response_groundedness"": 0.9965174129355157}",[],pass,"The agent output directly answers the user’s question by listing one free personal item, one free carry-on, and two free checked bags, and states that oversize/overweight fees are waived for the two checked bags. It also specifies the required IDs (valid/unexpired CAC or Armed Forces of the United States ID with active/reserve/guard/academy affiliation) and notes no agent assistance fee — none of which contradicts the expected answer. Missing mention of Frontier’s size/weight limits is allowed by the criteria. Therefore the output meets all criteria."
how do i get a receipt for a refund or payment?,"You can access receipts for payments and refunds on the My Trip page. Go to the My Trip page, enter your last name and confirmation code, open your booking, and scroll to the payment section to view/download the receipt.","You can access receipts for your payments, refunds, and credit card charges online through the [My Trip page](https://www.flyfrontier.com/travel/my-trips/manage-trip/). Simply enter your last name and confirmation code, then scroll to the payment section on your booking page to view your transaction history.

If you are a FRONTIER Miles member, you can also view all past trips and purchases by signing into your account.","{""query_ease"": 0.9963801805982658, ""brand_safety"": 0.9965174129358915, ""trustworthiness"": 0.9989991256433313, ""topic_restriction"": 0.9965174129370252, ""context_sufficiency"": 0.9965174129108955, ""suspicious_activity"": 0.9965174129380252, ""response_helpfulness"": 0.9965174126301993, ""response_groundedness"": 0.9965174129354614}",[],pass,"The agent_output directly answers the user’s query by instructing them to use the My Trip page, includes the necessary steps (enter last name and confirmation code, open booking, scroll to payment section), and provides an appropriate link and optional FRONTIER Miles account info. This matches the expected answer and does not contradict it. Therefore it meets the criteria."
what kinds of jobs does frontier hire for and where can i view all openings?,"Frontier lists several career areas on its careers page: Pilots, Corporate, Flight Attendants, Technical Operations, and Airport Operations. There is also an ""All Careers"" link that leads to their recruiting/job board where you can view all current openings.","Frontier Airlines offers a variety of job opportunities across different areas. You can explore careers in the following categories:

- **Pilots**: Opportunities for those interested in flying and operating aircraft.
- **Corporate**: Positions in business operations, management, and administration.
- **Flight Attendants**: Roles focused on customer service and in-flight safety.
- **Technical Operations**: Jobs related to aircraft maintenance and engineering.
- **Airport Operations**: Positions involving ground services and airport management.

To view all current job openings and apply, you can visit the [Frontier Airlines Careers page](https://www.flyfrontier.com/careers/). Each listing provides detailed job descriptions and requirements.","{""query_ease"": 0.9965174106662709, ""brand_safety"": 0.9965174129358626, ""trustworthiness"": 0.9989935809752417, ""topic_restriction"": 0.9965174129384998, ""context_sufficiency"": 0.9965174118632425, ""suspicious_activity"": 0.9965174129392855, ""response_helpfulness"": 0.9965174129374491, ""response_groundedness"": 0.996517412935456}",[],pass,"The agent output lists the expected Frontier career areas (Pilots, Corporate, Flight Attendants, Technical Operations, and Airport Operations) and directs the user to the Frontier careers page to view all current openings. It attempts to answer the query and does not contradict the expected answer, so it meets the criteria."
if i cant lower both armrests do i need to buy a second seat?,"Yes. If you are unable to lower both armrests and/or doing so would require you to compromise any portion of an adjacent seat or the aisle, you should book two seats prior to travel. The armrest is considered the definitive boundary between seats. To purchase a second seat, chat with Frontier Airlines.","If you are unable to lower both armrests, you are required to book two seats prior to travel. The armrest serves as the boundary between seats and is important for safety by limiting lateral movement. To purchase a second seat, you can chat with Frontier Airlines through their website.","{""query_ease"": 0.7178830774429, ""brand_safety"": 0.9965074664874393, ""trustworthiness"": 0.998999738335879, ""topic_restriction"": 0.996516224857746, ""context_sufficiency"": 0.9965174129353896, ""suspicious_activity"": 0.9965174115679867, ""response_helpfulness"": 0.9965010144826102, ""response_groundedness"": 0.9965174129353864}",[],pass,"The agent output directly answers the question by stating that if you cannot lower both armrests you must book two seats prior to travel, notes the armrest is the boundary between seats, and instructs the user to chat with Frontier Airlines to purchase a second seat. This matches the expected answer and contains no contradictions. It attempts to answer and does not say it cannot answer, so it meets all criteria."
why does frontier treat the armrest as the boundary and is it considered a safety feature when deciding if i need two seats?,"Frontier considers the armrest to be the definitive boundary between seats. The article explains that when armrests are fully lowered they are viewed as providing a measure of safety by restricting the seat occupant's lateral (side to side) movement. Because of this, if you cannot lower both armrests or occupying the adjacent space would compromise another seat or the aisle, you need to book two seats prior to travel. To purchase the extra seat, please chat with us.","Frontier Airlines considers the armrest as the definitive boundary between seats. This is important for determining if a passenger needs to purchase an additional seat. If you are unable to lower both armrests or if your presence compromises any portion of the adjacent seat or aisle, it is recommended to book two seats prior to travel.

The armrest, when fully lowered, also serves a safety function by restricting the lateral (side-to-side) movement of the seat occupant. This helps ensure that passengers remain securely within their designated seating area during the flight.","{""query_ease"": 0.9728460700594902, ""brand_safety"": 0.9965174129365836, ""trustworthiness"": 0.9989998404517361, ""topic_restriction"": 0.9965174111798436, ""context_sufficiency"": 0.9965174129353941, ""suspicious_activity"": 0.9965174128941553, ""response_helpfulness"": 0.9965174039591105, ""response_groundedness"": 0.9965174129355916}",[],pass,"The agent output directly answers why Frontier treats the armrest as the boundary (it is the definitive boundary) and confirms it is considered a safety feature when fully lowered because it restricts lateral movement. It also states the policy consequence (if you cannot lower both armrests or you would compromise adjacent seat/aisle, book two seats). This aligns with the expected answer and does not contradict it. Therefore it meets the criteria."
what's included in the economy bundle?,"The Economy bundle includes: Personal Item, Carry-On Bag, Standard Seat Selection, and No Change/Cancel Fee. (Bundles apply to all passengers and directions on the booking when purchased.)","The Economy bundle with Frontier Airlines includes the following:

- Personal Item
- Carry-On Bag
- Standard Seat Selection
- No Change/Cancel Fee

This bundle is designed to provide essential travel conveniences while offering flexibility with no change or cancellation fees.","{""query_ease"": 0.7665522976391992, ""brand_safety"": 0.9965174050146803, ""trustworthiness"": 0.9989969608315126, ""topic_restriction"": 0.9965173847996005, ""context_sufficiency"": 0.9965174129354742, ""suspicious_activity"": 0.9965174129121125, ""response_helpfulness"": 0.9892378207147706, ""response_groundedness"": 0.9965174129354795}",[],pass,"The agent output directly lists the Economy bundle contents (Personal Item, Carry-On Bag, Standard Seat Selection, No Change/Cancel Fee), which matches the expected answer. It answers the query and does not contradict the expected information. The omission of the note about bundles applying to all passengers/directions is not a contradiction. Therefore the output meets the criteria."
who qualifies for preboarding?,Preboarding is available to: customers with disabilities; active-duty U.S. Military personnel; families traveling with children under 2 years old; and Frontier Miles Elite Diamond members.,"Preboarding on Frontier Airlines is available to the following groups:

- Customers with disabilities
- Active-duty U.S. Military personnel
- Families traveling with children under 2 years old
- Frontier Miles Elite Diamond members

These groups are given the opportunity to board the aircraft before the general boarding process begins.","{""query_ease"": 0.951224452990716, ""brand_safety"": 0.9965174129360008, ""trustworthiness"": 0.9989997996053825, ""topic_restriction"": 0.9965174129363873, ""context_sufficiency"": 0.9965174129354863, ""suspicious_activity"": 0.9965174127280269, ""response_helpfulness"": 0.9965174128395842, ""response_groundedness"": 0.9965174129353537}",[],pass,"The agent output directly answers the question by listing the four qualifying groups for preboarding: customers with disabilities; active-duty U.S. Military personnel; families traveling with children under 2 years old; and Frontier Miles Elite Diamond members. This matches the expected answer and does not contradict it, so it meets the criteria."
i'm frontier miles elite silver. will i board in group 2 or group 4 if i only purchase a carry-on?,"As a Frontier Miles Elite Silver member, if you purchase a carry-on bag, you will board in Group 2. If you do not purchase a carry-on, you will board in Group 4.","As a Frontier Miles Elite Silver member, if you purchase a carry-on bag, you will board in Group 2. If you do not purchase a carry-on bag, you will board in Group 4.","{""query_ease"": 0.9965173880492014, ""brand_safety"": 0.9965174129360682, ""trustworthiness"": 0.9989935809752417, ""topic_restriction"": 0.9965174129367902, ""context_sufficiency"": 0.9965173456733238, ""suspicious_activity"": 0.9965174129372465, ""response_helpfulness"": 0.9965174129361578, ""response_groundedness"": 0.9965174129358162}",[],pass,"The agent output directly answers the question and matches the expected answer: it states that as a Frontier Miles Elite Silver member, purchasing a carry-on results in boarding in Group 2, and not purchasing a carry-on results in Group 4. It attempts to answer and does not contradict the expected information, so it meets all criteria."
"i only have venmo and google pay — can i still book, or is there a monthly payment option?","You cannot pay with Venmo or Google Pay; Frontier explicitly does not accept Venmo, Google Pay, Apple Pay, PayPal, or Samsung Pay. To book, you can use an accepted credit card (Visa, MasterCard, American Express, or Discover). If you want to pay over time, Frontier does offer monthly payments through FlexPay at checkout — see Frontier’s FlexPay page for more details: http://www.flyfrontier.com/flexpay.","Frontier Airlines does not accept Google Pay or Venmo for booking flights. However, you can use credit cards such as Visa, MasterCard, American Express, and Discover. Additionally, Frontier offers a monthly payment option through FlexPay, which you can select at checkout. For more details on FlexPay, you can visit Frontier's FlexPay page.","{""query_ease"": 0.9955069656275418, ""brand_safety"": 0.9965174129269989, ""trustworthiness"": 0.9989999017213032, ""topic_restriction"": 0.9965174129376667, ""context_sufficiency"": 0.9965174129357426, ""suspicious_activity"": 0.9965174129391483, ""response_helpfulness"": 0.9965174039589498, ""response_groundedness"": 0.9965174129354479}",[],pass,"The agent output directly answers the user’s question: it states Venmo and Google Pay are not accepted, lists accepted credit cards (Visa, MasterCard, American Express, Discover), and confirms Frontier offers monthly payments via FlexPay at checkout. It does not contradict the expected answer and appropriately addresses the query, so it meets the criteria."
