departure,arrival
Aguadilla (BQN),"Orlando, FL (MCO)"
"Atlanta, GA (ATL)","Austin, TX (AUS)"
"Atlanta, GA (ATL)","Baltimore, MD (BWI)"
"Atlanta, GA (ATL)","Boston, MA (BOS)"
"Atlanta, GA (ATL)","Buffalo, NY (BUF)"
"Atlanta, GA (ATL)",Cabo San Lucas (SJD)
"Atlanta, GA (ATL)","Cancun, MX (CUN)"
"Atlanta, GA (ATL)","Chicago, IL (MDW)"
"Atlanta, GA (ATL)","Chicago, IL (ORD)"
"Atlanta, GA (ATL)","Cincinnati, OH (CVG)"
"Atlanta, GA (ATL)","Cleveland, OH (CLE)"
"Atlanta, GA (ATL)","Columbus, OH (CMH)"
"Atlanta, GA (ATL)","Dallas, TX (DFW)"
"Atlanta, GA (ATL)","Denver, CO (DEN)"
"Atlanta, GA (ATL)","Detroit, MI (DTW)"
"Atlanta, GA (ATL)","Fort Lauderdale, FL (FLL)"
"Atlanta, GA (ATL)","Fort Myers, FL (RSW)"
"Atlanta, GA (ATL)",Guatemala City (GUA)
"Atlanta, GA (ATL)","Hartford, CT (BDL)"
"Atlanta, GA (ATL)","Houston, TX (IAH)"
"Atlanta, GA (ATL)","Indianapolis, IN (IND)"
"Atlanta, GA (ATL)","Islip, NY (ISP)"
"Atlanta, GA (ATL)","Jacksonville, FL (JAX)"
"Atlanta, GA (ATL)","Kansas City, MO (MCI)"
"Atlanta, GA (ATL)","Las Vegas, NV (LAS)"
"Atlanta, GA (ATL)","Los Angeles, CA (LAX)"
"Atlanta, GA (ATL)","Memphis, TN (MEM)"
"Atlanta, GA (ATL)","Miami, FL (MIA)"
"Atlanta, GA (ATL)","Milwaukee, WI (MKE)"
"Atlanta, GA (ATL)","Minneapolis/St. Paul, MN (MSP)"
"Atlanta, GA (ATL)","Montego Bay, Jamaica (MBJ)"
"Atlanta, GA (ATL)","New Orleans, LA (MSY)"
"Atlanta, GA (ATL)","New York City, NY (JFK)"
"Atlanta, GA (ATL)","New York City, NY (LGA)"
"Atlanta, GA (ATL)","Newark, NJ (EWR)"
"Atlanta, GA (ATL)","Norfolk, VA (ORF)"
"Atlanta, GA (ATL)","Oklahoma City, OK (OKC)"
"Atlanta, GA (ATL)","Omaha, NE (OMA)"
"Atlanta, GA (ATL)","Oranjestad, Aruba (AUA)"
"Atlanta, GA (ATL)","Orlando, FL (MCO)"
"Atlanta, GA (ATL)","Philadelphia, PA (PHL)"
"Atlanta, GA (ATL)","Phoenix, AZ (PHX)"
"Atlanta, GA (ATL)",Providenciales (PLS)
"Atlanta, GA (ATL)","Puerto Vallarta, Mexico (PVR)"
"Atlanta, GA (ATL)","Punta Cana, Dominican Republic (PUJ)"
"Atlanta, GA (ATL)","Raleigh, NC (RDU)"
"Atlanta, GA (ATL)",Richmond (RIC)
"Atlanta, GA (ATL)","San Antonio, TX (SAT)"
"Atlanta, GA (ATL)","San Francisco, CA (SFO)"
"Atlanta, GA (ATL)","San Jose, CR (SJO)"
"Atlanta, GA (ATL)","San Juan, PR (SJU)"
"Atlanta, GA (ATL)",San Pedro Sula (SAP)
"Atlanta, GA (ATL)",San Salvador (SAL)
"Atlanta, GA (ATL)","St. Louis, MO (STL)"
"Atlanta, GA (ATL)",St. Maarten (SXM)
"Atlanta, GA (ATL)","Syracuse, NY (SYR)"
"Atlanta, GA (ATL)","Tampa, FL (TPA)"
"Atlanta, GA (ATL)","Trenton, NJ (TTN)"
"Atlanta, GA (ATL)","Washington, D.C. (IAD)"
"Atlanta, GA (ATL)","West Palm Beach, FL (PBI)"
"Austin, TX (AUS)","Atlanta, GA (ATL)"
"Austin, TX (AUS)","Chicago, IL (ORD)"
"Austin, TX (AUS)","Cincinnati, OH (CVG)"
"Austin, TX (AUS)","Cleveland, OH (CLE)"
"Austin, TX (AUS)","Denver, CO (DEN)"
"Austin, TX (AUS)","Las Vegas, NV (LAS)"
"Austin, TX (AUS)","Miami, FL (MIA)"
"Austin, TX (AUS)","Orlando, FL (MCO)"
"Austin, TX (AUS)","Philadelphia, PA (PHL)"
"Austin, TX (AUS)","Phoenix, AZ (PHX)"
"Baltimore, MD (BWI)","Atlanta, GA (ATL)"
"Baltimore, MD (BWI)","Charlotte, NC (CLT)"
"Baltimore, MD (BWI)","Chicago, IL (MDW)"
"Baltimore, MD (BWI)","Dallas, TX (DFW)"
"Baltimore, MD (BWI)","Denver, CO (DEN)"
"Baltimore, MD (BWI)","Detroit, MI (DTW)"
"Baltimore, MD (BWI)","Miami, FL (MIA)"
"Baltimore, MD (BWI)","Orlando, FL (MCO)"
"Baltimore, MD (BWI)","San Juan, PR (SJU)"
"Baltimore, MD (BWI)","Tampa, FL (TPA)"
"Bentonville/Fayetteville, AR  (XNA)","Denver, CO (DEN)"
"Boise, ID (BOI)","Denver, CO (DEN)"
"Boston, MA (BOS)","Atlanta, GA (ATL)"
"Boston, MA (BOS)","Charlotte, NC (CLT)"
"Boston, MA (BOS)","Cincinnati, OH (CVG)"
"Boston, MA (BOS)","Cleveland, OH (CLE)"
"Boston, MA (BOS)","Dallas, TX (DFW)"
